setup,framework,version,loss,accuracy,run time [s],system,dataset,processing unit
System 2 deterministic,pytorch,1.5,0.0517,99.16,2096.9514,system_2,mnist,CPU
System 2 deterministic,pytorch,1.5,0.0517,99.16,1849.2818,system_2,mnist,CPU
System 3 deterministic,pytorch,1.5,0.0517,99.16,1749.2395,system_3,mnist,CPU
System 3 deterministic,pytorch,1.5,0.0517,99.16,1740.2913,system_3,mnist,CPU
System 3 deterministic,pytorch,1.5,0.0517,99.16,1931.3451,system_3,mnist,CPU
System 3 deterministic,pytorch,1.5,0.0517,99.16,2014.3413,system_3,mnist,CPU
System 3 deterministic,pytorch,1.5,0.0517,99.16,2859.2994,system_3,mnist,CPU
System 2 deterministic,pytorch,1.5,0.0428,99.23,401.5341,system_2,mnist,single GPU
System 2 deterministic,pytorch,1.5,0.0428,99.23,406.2310,system_2,mnist,single GPU
System 2 deterministic,pytorch,1.5,0.0428,99.23,417.2372,system_2,mnist,single GPU
System 2 deterministic,pytorch,1.5,0.0428,99.23,399.1958,system_2,mnist,single GPU
System 2 deterministic,pytorch,1.5,0.0428,99.23,396.1150,system_2,mnist,single GPU
System 3 deterministic,pytorch,1.5,0.0428,99.23,387.4189,system_3,mnist,single GPU
System 3 deterministic,pytorch,1.5,0.0428,99.23,401.9515,system_3,mnist,single GPU
System 3 deterministic,pytorch,1.5,0.0428,99.23,402.3459,system_3,mnist,single GPU
System 3 deterministic,pytorch,1.5,0.0428,99.23,386.4914,system_3,mnist,single GPU
System 3 deterministic,pytorch,1.5,0.0428,99.23,403.4321,system_3,mnist,single GPU
System 2 deterministic,pytorch,1.5,0.0430,99.15,311.3091,system_2,mnist,multi GPU
System 2 deterministic,pytorch,1.5,0.0430,99.15,301.5559,system_2,mnist,multi GPU
System 2 deterministic,pytorch,1.5,0.0430,99.15,285.4581,system_2,mnist,multi GPU
System 2 deterministic,pytorch,1.5,0.0430,99.15,340.6679,system_2,mnist,multi GPU
System 2 deterministic,pytorch,1.5,0.0430,99.15,358.9812,system_2,mnist,multi GPU
System 3 deterministic,pytorch,1.5,0.0430,99.15,299.4910,system_3,mnist,multi GPU
System 3 deterministic,pytorch,1.5,0.0430,99.15,385.4814,system_3,mnist,multi GPU
System 3 deterministic,pytorch,1.5,0.0430,99.15,343.1839,system_3,mnist,multi GPU
System 3 deterministic,pytorch,1.5,0.0430,99.15,314.4290,system_3,mnist,multi GPU
System 3 deterministic,pytorch,1.5,0.0430,99.15,344.6633,system_3,mnist,multi GPU
