setup,framework,version,loss,accuracy,run time [s],system,dataset,processing unit
System 2 deterministic,tensorflow,2.2,0.0437,99.18,540.2110,system_2,mnist,CPU
System 2 deterministic,tensorflow,2.2,0.0437,99.18,536.9965,system_2,mnist,CPU
System 2 deterministic,tensorflow,2.2,0.0437,99.18,598.2236,system_2,mnist,CPU
System 3 deterministic,tensorflow,2.2,0.0437,99.18,602.3964,system_3,mnist,CPU
System 3 deterministic,tensorflow,2.2,0.0437,99.18,575.1294,system_3,mnist,CPU
System 3 deterministic,tensorflow,2.2,0.0437,99.18,582.9534,system_3,mnist,CPU
System 3 deterministic,tensorflow,2.2,0.0437,99.18,603.0090,system_3,mnist,CPU
System 3 deterministic,tensorflow,2.2,0.0437,99.18,601.9352,system_3,mnist,CPU
System 2 deterministic,tensorflow,2.2,0.0416,99.15,120.5660,system_2,mnist,single GPU
System 2 deterministic,tensorflow,2.2,0.0416,99.15,123.2264,system_2,mnist,single GPU
System 2 deterministic,tensorflow,2.2,0.0416,99.15,119.5924,system_2,mnist,single GPU
System 2 deterministic,tensorflow,2.2,0.0416,99.15,131.1422,system_2,mnist,single GPU
System 2 deterministic,tensorflow,2.2,0.0416,99.15,117.2774,system_2,mnist,single GPU
System 3 deterministic,tensorflow,2.2,0.0416,99.15,126.4124,system_3,mnist,single GPU
System 3 deterministic,tensorflow,2.2,0.0416,99.15,122.6904,system_3,mnist,single GPU
System 3 deterministic,tensorflow,2.2,0.0416,99.15,124.3244,system_3,mnist,single GPU
System 3 deterministic,tensorflow,2.2,0.0416,99.15,118.4245,system_3,mnist,single GPU
System 3 deterministic,tensorflow,2.2,0.0416,99.15,117.7784,system_3,mnist,single GPU
System 2 deterministic,tensorflow,2.2,0.0469,99.09,121.4755,system_2,mnist,multi GPU
System 2 deterministic,tensorflow,2.2,0.0469,99.09,131.0414,system_2,mnist,multi GPU
System 2 deterministic,tensorflow,2.2,0.0469,99.09,127.3306,system_2,mnist,multi GPU
System 2 deterministic,tensorflow,2.2,0.0469,99.09,125.5512,system_2,mnist,multi GPU
System 2 deterministic,tensorflow,2.2,0.0469,99.09,126.0967,system_2,mnist,multi GPU
System 3 deterministic,tensorflow,2.2,0.0469,99.09,124.8775,system_3,mnist,multi GPU
System 3 deterministic,tensorflow,2.2,0.0469,99.09,126.9884,system_3,mnist,multi GPU
System 3 deterministic,tensorflow,2.2,0.0469,99.09,123.5885,system_3,mnist,multi GPU
System 3 deterministic,tensorflow,2.2,0.0469,99.09,123.8854,system_3,mnist,multi GPU
System 3 deterministic,tensorflow,2.2,0.0469,99.09,129.0014,system_3,mnist,multi GPU
